pos,videoId,kind,day_result,pnl_usd,account,trades_n,symbols,setups,mistakes,market,first_et,last_et,max_loss_hit,notable
2,VZjai9BpRWU,recap,green,620,?,1,TN,micro_pullback,none,cold,?,?,?,"Traded wrong account so capped at 5,000 shares"
4,x1RLtnF2To4,recap,green,120.71,main,1,WYHG,micro_pullback,none,cold,?,?,?,"Cold-market daily goal $5,000 vs $20,000 hot-market goal"
6,wB6ObQt__uI,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"YTD +$2.1M, 66% accuracy, $5k avg winner vs $3k avg loser"
9,sp533QHi-58,recap,green,27813.61,main,?,ACAN,flat_top,added_to_loser;didnt_bank_green;oversized,cold,?,?,?,Says +$27.8k did not justify risking about $100k
11,dun36aWBpxg,recap,red,-8200,both,1,AEHL,micro_pullback,traded_low_quality;stop_widened,cold,?,?,Y,"Small account also -$8,400, dropping from $99.4k to $91.5k"
12,nB5g2GFvBxU,recap,red,-5000,main,2,PBBT,first_pullback;half_whole_dollar,didnt_bank_green,cold,?,?,N,Successful red day: stopped at -$5k after +$10k; 120 green vs 20 red YTD
14,Wd_iUsteoaw,recap,notrade,?,?,0,?,?,none,cold,?,?,?,August netted $211k despite -$74k and -$66k days; loses money after 10am
15,6XWWdmOkOPs,recap,green,975.63,main,1,AEHL,half_whole_dollar,none,?,?,?,?,"One 9,000-share AEHL trade; passed on RDHL, XAIR, WETO as too fast or backside"
16,76gAPVfe-Uo,recap,green,84.91,?,1,?,?,?,cold,?,?,?,Sunday watchlist AEHL and COOT; Friday a single trade for +$84.91
19,bd16G3KZJ7s,recap,green,47000,both,?,LGPS;PPCB;YMT,micro_pullback;half_whole_dollar,back_side;divided_attention,?,?,?,?,Nearly $50k on PPCB in main but lost on its backside in the small account
21,M2x5LGI3LIY,recap,red,-15000,both,?,DAIC;CRE;VCIG,other,chased_extended;reentry_after_stop,cold,?,?,?,Main -$15k while small account made +$3.4k on same names
23,hs87P5GNEac,recap,green,10598,both,4,ARCON;GRML;DAIC;AMIX,micro_pullback;half_whole_dollar,chased_extended;didnt_bank_green;divided_attention,mixed,?,?,?,Gave back half a $17k ARCON win with an instant -$8k on GRML
25,50jWVs1bM3Y,recap,green,2500,small,2,XP,micro_pullback;half_whole_dollar,didnt_bank_green;slippage;chased_extended,?,?,?,?,Gave back $6k of a $9k green day
