pos,videoId,duration,seconds,title
1,IDFh3w1Jwo0,SHORT (0:46),46,PULLBACK OR SELLOFF?
2,VZjai9BpRWU,10:58,658,"Malaysian Stock Goes Up 1,500% in 15-Minutes"
3,tWvsiIasQIA,SHORT (0:40),40,Trading Trends in Hot vs Cold Market
4,x1RLtnF2To4,12:42,762,This Stock Just Went Up Over 130%...
5,yCNiMlzTKEM,SHORT (0:57),57,My Favorite Day Trading Setup
6,wB6ObQt__uI,25:18,1518,3 Stocks I'm Watching for Tuesday! (Labor Day Sales ENDING SOON)
7,moLwR9ZuuLs,SHORT (0:38),38,How Studying Your Metrics can Help Your Trading
8,m9ruRNDTMw8,SHORT (0:35),35,How Short Sellers are Affecting the Market
9,sp533QHi-58,19:31,1171,It's Happening Again...
10,tjatdrOZsFY,SHORT (0:28),28,The Two Hardest Parts of Day Trading
11,dun36aWBpxg,10:06,606,Max Loss Red Day...
12,nB5g2GFvBxU,11:40,700,"Define a ""Successful"" Red Day…"
13,c7m7YyaQglM,SHORT (0:33),33,The Importance of Trading Quality Setups
14,Wd_iUsteoaw,29:56,1796,Here's what's REALLY Happening...
15,6XWWdmOkOPs,12:12,732,It Only Takes 1 Good Trade...
16,76gAPVfe-Uo,17:30,1050,My Top 2 Stocks On Watch For Monday (Day Trading Watch List)
17,Ayq-2SCVhxg,SHORT (0:47),47,Graduating From the Simulator Day Trading
18,os13N4sKD2E,SHORT (0:54),54,"$47,000+ Profit Mobile Day Trading"
19,bd16G3KZJ7s,10:46,646,Biotech Stock Squeezes Up 300% On Breaking News (Biotech Sector ETF is +37% Year…
20,BkKjix1JXTE,SHORT (0:45),45,How to Setup Hotkeys on Webull
21,M2x5LGI3LIY,7:21,441,Breaking News Sends Chinese Stock Up 225% in 15-minutes
22,HA38fn9Ds7A,SHORT (0:22),22,Day Trading Basics: Level 2 Data
23,hs87P5GNEac,10:46,646,This Momentum is UNREAL
24,QI69bZgYqi0,SHORT (0:36),36,Phantom Shares: How They Affect Day Trading
25,50jWVs1bM3Y,11:42,702,Oil and Gas Sector Stock Makes a 150% Move on Breaking News
26,IFELeJBPFiQ,SHORT (1:01),61,Breaking News Naked Short Selling Scheme
27,U3TQJxaDZus,1:29:33,5373,Forcing a Crash: Inside a Wall Street Scheme (Court Documents Revealed)
28,1-Q8V3QXn3Q,SHORT (0:38),38,How I Decide What Stocks to Trade
29,6N5OdC3zl0c,7:50,470,Biotech Stock Up 114% 🤩
